idstd,id,wmedian,wweak,finance_status,k162a,k162b,k17,k20a1,k6,k82a,k82b,k9,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k32,a2,a3a,a3c,a6a,a6c,b4,b4a,b5,b6b,b7a,b8,d1a2_v4,d2,d3b,d3c,d8,h1,h5,h8,h9,n3,b1,b2a,b2b,b2c,d1a3,e1,e312,l4a1,l4a2,l4b
1629330,2304,2.3797135,4.008844,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,1,1,1,1,14,2,,2017,2017,2,2,2100,2000000.0,0,0,,1,2,2,,-7.0,4,100,0,0,100,2,3.0,3,1,0
1629332,2387,1.0163754,2.7457263,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,1,1,1,3,9,2,,2020,2020,2,2,4641,1525000.0,0,0,,2,2,2,,1200000.0,3,100,0,0,100,1,3.0,5,2,1
1629333,2391,3.2991145,5.109369,in_process,1,2,,-6.0,2,2,2,,,,,,,,,,,2,2,2,1,13,2,,2013,2015,2,2,1040,70000000.0,0,0,,2,2,2,,80000000.0,3,100,0,0,100,1,3.0,2,2,2
1629334,2433,1.0,4.8455725,discouraged,2,2,4.0,,2,2,2,,,,,,,,,,,4,3,2,1,7,2,,2018,2018,2,2,4530,30000000.0,0,0,,2,2,2,,20000000.0,4,100,0,0,100,1,3.0,2,2,3
1629335,2441,1.1599877,1.6717311,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,3,3,2,2,34,2,,2017,2017,2,2,1920,3500000.0,0,0,,2,2,2,,3000000.0,3,100,0,0,80,1,3.0,2,3,1
1629337,2456,2.3797135,4.008844,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,1,3,2,1,6,2,,2017,2017,2,2,2399,2000000.0,0,0,,2,2,2,,300000.0,3,100,0,0,100,1,3.0,1,3,4
1629338,2496,3.2991145,5.109369,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,1,50,2,,2018,2012,2,1,2100,50000000.0,0,0,,1,2,2,,30000000.0,5,100,0,0,100,2,3.0,12,8,10
1629339,2502,7.494959,13.3507,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,2,2,2,1,13,2,,2015,2015,2,2,4100,-9.0,0,0,,1,2,2,,-9.0,3,0,0,0,90,2,3.0,23,8,72
1629340,2548,1.0,1.2193496,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,4,4,2,3,1500,2,,1994,2014,2,2,1393,36532000.0,80,0,2000.0,2,2,2,,45360000.0,4,100,0,0,100,3,,300,700,490
1629341,2554,2.5868266,5.8177285,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,1,1,1,3,5,2,,2023,2023,2,2,4210,500000.0,0,0,,2,2,2,,-7.0,3,100,0,0,30,1,3.0,4,2,0
1629342,2574,5.415388,10.492743,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,1,24,2,,2009,2009,2,2,4100,36570000.0,0,0,,2,2,2,,14860000.0,3,100,0,0,100,1,3.0,11,5,2
1629343,2577,1.2909241,2.5241895,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,3,280,2,,2016,2016,2,2,2410,28000000.0,0,0,,2,2,1,2000000.0,18000000.0,4,100,0,0,100,2,3.0,50,30,170
1629344,2600,1.2909241,2.5241895,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,3,350,2,,2008,2008,2,1,2732,290000000.0,0,0,,1,2,1,4690000.0,100000000.0,4,100,0,0,100,2,3.0,40,30,30
1629345,2604,1.7817818,3.235125,approved_full,1,2,,1.0,2,1,2,1.0,-9.0,2.0,,,,,,,16.0,1,1,1,2,20,2,,2015,2015,2,2,2511,3000000.0,0,0,,2,2,2,,-7.0,4,100,0,0,100,2,3.0,3,1,0
1629346,2612,3.2991145,5.109369,discouraged,2,2,2.0,,2,2,2,,,,,,,,,,,2,2,2,1,25,2,,2014,2014,2,2,1520,7000000.0,0,0,,1,2,2,,8500000.0,4,100,0,0,100,2,3.0,1,2,5
1629347,2614,1.0163754,2.7457263,reason_unknown,2,2,-9.0,,1,2,2,,,,,,,,,,,1,1,1,3,8,2,,2005,2007,2,2,4649,9000000.0,0,0,,2,2,2,,7000000.0,4,100,0,0,100,2,3.0,2,2,2
1629348,2622,1.8420676,3.2882755,discouraged,2,2,4.0,,1,2,2,,,,,,,,,,,3,3,2,3,6,2,,2015,2018,2,2,4100,5000000.0,0,0,,1,2,2,,4500000.0,3,100,0,0,70,1,3.0,2,3,1
1629349,2624,2.3797135,4.008844,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,1,3,2,1,180,2,,2004,2005,2,2,1702,390000000.0,0,0,,1,2,1,7000000.0,350000000.0,3,100,0,0,70,2,2.0,10,10,30
1629350,2626,1.1599877,1.6717311,discouraged,2,2,4.0,,1,2,1,3.0,9000000.0,1.0,1.0,2.0,2.0,1.0,2.0,118000000.0,,3,1,1,2,75,2,,2007,2011,2,1,2220,50000000.0,0,0,,1,2,1,2100000.0,70000000.0,5,100,0,0,100,2,3.0,5,15,40
